animal,epoch,cell_num,Var4_1,Var4_2,Var4_3,Var4_4,Var4_5,Var4_6,Var4_7,Var4_8,Var4_9,Var4_10,Var4_11,Var4_12,Var4_13,Var4_14,Var4_15,Var4_16,Var4_17,Var4_18,Var4_19,Var4_20,Var4_21,Var4_22,Var4_23,Var4_24,Var4_25,Var4_26,Var4_27,Var4_28,Var4_29,Var4_30,Var4_31,Var4_32,Var4_33,Var4_34,Var4_35,Var4_36,Var4_37,Var4_38,Var4_39,Var4_40,Var4_41,Var4_42,Var4_43,Var4_44,Var4_45,Var4_46,Var4_47,Var4_48,Var4_49,Var4_50,Var4_51,Var4_52,Var4_53,Var4_54,Var4_55,Var4_56,Var4_57,Var4_58,Var4_59,Var4_60,Var4_61,Var4_62,Var4_63,Var4_64,Var4_65,Var4_66,Var4_67,Var4_68,Deviation_Score,P_val
445,1,24,-0.470086930000001,0.233056269999999,0.273310709999997,-1.04617895000001,-0.62696175,-0.0914845200000016,-1.1398304,-1.70590739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.927310046555491,11.5
445,1,25,-10.30077958,-1.04617895000001,0.0558678899999947,9.35867159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.363218006891959,23.7
445,1,26,2.35048544,0.099201960000002,0.941651729999997,-1.52570958,1.30828722,0.470035410000001,-0.181018799999997,5.13928172,4.24030949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1224435221763,98.3
445,1,27,-6.9406356,-8.82641652,8.35955479,0.359126789999998,0.162334979999997,-1.70590739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.929618753918493,10.5
445,1,28,10.74450496,-1.87367497,-0.00364043999999808,-1.12979902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.416876704423106,22.7
445,1,29,0.469057190000001,2.02899049,-3.59357561,-0.180703869999995,0.0129099099999976,-0.818066930000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00883481486159082,44.2
445,1,30,-0.36292924,0.0473416200000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012445138863822,46.9
445,1,31,2.10471644,2.70965667,0.295636119999998,-0.773178020000003,0.544586989999999,-0.460155149999999,-4.74555843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.613270871293812,83.3
445,1,32,2.80556517,-15.50610587,0.52552841,-2.60055779,0.408757280000003,0.430325549999999,0.288225860000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.661478839066658,89.4
445,1,33,-4.28838979,0.656127980000001,2.80556517,-8.05849984,0.129643960000003,-11.60994126,0.336964060000007,-1.52570958,0.249868720000002,0.461179170000001,-0.86917133,-0.126821720000002,5.30315905,-1.3263026,-0.490255669999996,-1.63337047,8.50546317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.202937910602929,36.5
