animal,epoch,cell_num,Var4_1,Var4_2,Var4_3,Var4_4,Var4_5,Var4_6,Var4_7,Var4_8,Var4_9,Var4_10,Var4_11,Var4_12,Var4_13,Var4_14,Var4_15,Var4_16,Var4_17,Var4_18,Var4_19,Var4_20,Var4_21,Var4_22,Var4_23,Var4_24,Var4_25,Var4_26,Var4_27,Var4_28,Var4_29,Var4_30,Var4_31,Var4_32,Var4_33,Var4_34,Var4_35,Var4_36,Var4_37,Var4_38,Var4_39,Var4_40,Var4_41,Var4_42,Var4_43,Var4_44,Var4_45,Var4_46,Var4_47,Var4_48,Var4_49,Var4_50,Var4_51,Var4_52,Var4_53,Var4_54,Var4_55,Var4_56,Var4_57,Var4_58,Var4_59,Var4_60,Var4_61,Var4_62,Var4_63,Var4_64,Var4_65,Var4_66,Var4_67,Var4_68,Var4_69,Var4_70,Var4_71,Var4_72,Var4_73,Var4_74,Var4_75,Var4_76,Var4_77,Var4_78,Var4_79,Var4_80,Var4_81,Var4_82,Var4_83,Var4_84,Var4_85,Var4_86,Var4_87,Var4_88,Var4_89,Var4_90,Var4_91,Var4_92,Var4_93,Var4_94,Var4_95,Var4_96,Var4_97,Var4_98,Var4_99,Var4_100,Var4_101,Var4_102,Var4_103,Var4_104,Var4_105,Var4_106,Var4_107,Var4_108,Var4_109,Var4_110,Var4_111,Var4_112,Var4_113,Var4_114,Var4_115,Var4_116,Var4_117,Var4_118,Var4_119,Var4_120,Var4_121,Var4_122,Var4_123,Deviation_Score,P_val
440,1,37,5.67830783,0.825446459999995,1.9751481,-0.442964000000003,0.0246969500000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64332720834747,80.8
440,1,38,7.53559999,-3.18709796,-0.567613919999999,-0.230562200000008,-5.3730111,1.60665073999999,-1.2963357,0.926245830000013,2.48427685999999,1.18786950000001,-1.42611168000001,-0.41563939000001,0.578716889999995,-0.378970899999999,-1.73135684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.694031841779327,19.1
440,1,39,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN
440,1,40,5.67830783,-4.40084679,0.529276949999996,-1.98987646,-0.818522949999988,-4.87331292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.35567648448008,6.2
440,1,41,-3.09254941,0.426186099999995,0.628985620000002,-2.19275977,1.61950395999999,-12.38643812,-2.51812769999999,1.55032878,0.102480290000003,3.11056473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.391328164353332,70.7
440,1,42,3.90010742,-3.60663053,0.686232610000005,-0.845334250000008,0.038047370000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0231344037280973,53.5
440,1,43,-4.40084679,-2.33574652999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.97285267948276,10.2
440,1,44,0.921748310000005,0.0832498000000044,0.69333906,0.225511349999991,2.40294411000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.584835779075938,78.8
440,2,1,1.05592829,0.91198687,-0.16307054,-1.81881407,-0.00308752000000112,0.0211089200000032,0.185940980000005,0.118353569999996,0.175027829999998,0.375943660000004,0.409187430000003,0.299187149999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21693151001975,90.3
440,2,2,-0.417351230000001,0.177655590000001,-2.81006449,0.0368969099999958,-0.90210793,-0.109217530000002,-0.7730538,-2.46320751,1.73875321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.15865369909027,1.6
440,2,3,0.0625992500000052,-1.28259374000001,-0.0426974699999931,-0.725373129999994,0.0812015799999983,0.392709179999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0150345029569677,50.7
440,2,4,0.985638090000002,-1.9649152,1.13730659,1.37453779000001,0.42815263,0.204201519999998,-1.22702938,-2.36551678999999,-16.47166778,12.37132223,3.70879641999999,0.311880929999987,-0.973081640000004,-0.395106010000006,-1.19640065999999,-0.828728620000007,-0.90210793,0.337361319999999,-0.24040127,-0.695380389999997,-2.84126266999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.25189207380482,0
440,2,5,-3.00141481,-0.429797260000001,0.634327050000003,-0.0267036400000009,0.246948090000004,0.524827909999999,-0.179028869999996,-0.119399610000002,-0.201453229999998,0.0010588800000022,-0.0465477300000003,-0.953118500000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.601841777402131,22.8
